id,title,description,category,complexity,required_skills,trending,preparation_months
1,Secure Mobile System for Traffic,A comprehensive mobile project focusing on Kotlin and React Native to solve real-world problems.,Mobile,Beginner,Kotlin|React Native|Flutter,false,5
2,Automated Blockchain Analyzer,A comprehensive blockchain project focusing on Ethereum and Smart Contracts to solve real-world problems.,Blockchain,Advanced,Ethereum|Smart Contracts,true,4
3,Advanced Security Analyzer for Education,A comprehensive security project focusing on Network Security and Python to solve real-world problems.,Security,Intermediate,Network Security|Python|Cryptography|Linux,true,6
4,Advanced Security Analyzer,A comprehensive security project focusing on Python and Network Security to solve real-world problems.,Security,Advanced,Python|Network Security,true,3
5,Next-Gen Blockchain Platform for Healthcare,A comprehensive blockchain project focusing on Solidity and Web3.js to solve real-world problems.,Blockchain,Advanced,Solidity|Web3.js|Ethereum|Smart Contracts,false,4
6,Smart Cloud Tracker,A comprehensive cloud project focusing on Docker and Kubernetes to solve real-world problems.,Cloud,Advanced,Docker|Kubernetes|DevOps|AWS,true,5
7,Next-Gen Game Dev Module for Healthcare,A comprehensive game dev project focusing on C# and Unity to solve real-world problems.,Game Dev,Advanced,C#|Unity|Unreal Engine,true,3
8,Decentralized Security Platform,A comprehensive security project focusing on Network Security and Cryptography to solve real-world problems.,Security,Intermediate,Network Security|Cryptography,false,2
9,Smart Game Dev Tracker for Healthcare,A comprehensive game dev project focusing on C++ and C# to solve real-world problems.,Game Dev,Advanced,C++|C#,true,6
10,Automated Blockchain System for Agriculture,A comprehensive blockchain project focusing on Web3.js and Solidity to solve real-world problems.,Blockchain,Intermediate,Web3.js|Solidity|Smart Contracts,true,5
11,Automated Web Assistant,A comprehensive web project focusing on PostgreSQL and React to solve real-world problems.,Web,Advanced,PostgreSQL|React|MongoDB,true,5
12,Intelligent Blockchain Platform for Education,A comprehensive blockchain project focusing on Ethereum and Web3.js to solve real-world problems.,Blockchain,Intermediate,Ethereum|Web3.js,true,4
13,Advanced Cloud System for Security,A comprehensive cloud project focusing on DevOps and Azure to solve real-world problems.,Cloud,Advanced,DevOps|Azure,false,2
14,Smart Web Module,A comprehensive web project focusing on MongoDB and Node.js to solve real-world problems.,Web,Intermediate,MongoDB|Node.js|React,false,3
15,Secure Mobile Tool,A comprehensive mobile project focusing on Swift and Firebase to solve real-world problems.,Mobile,Intermediate,Swift|Firebase,true,6
16,Next-Gen Game Dev Platform,A comprehensive game dev project focusing on C++ and Unity to solve real-world problems.,Game Dev,Intermediate,C++|Unity,true,6
17,Smart Cloud Platform,A comprehensive cloud project focusing on Kubernetes and Azure to solve real-world problems.,Cloud,Advanced,Kubernetes|Azure,false,3
18,Advanced IoT Assistant,A comprehensive iot project focusing on C++ and MQTT to solve real-world problems.,IoT,Intermediate,C++|MQTT|Sensors|Raspberry Pi,false,3
19,Real-time Security Tracker,A comprehensive security project focusing on Ethical Hacking and Network Security to solve real-world problems.,Security,Beginner,Ethical Hacking|Network Security,false,3
20,Intelligent Game Dev Tool,A comprehensive game dev project focusing on C++ and C# to solve real-world problems.,Game Dev,Beginner,C++|C#|Unity,false,4
21,Smart AI/ML System for Traffic,A comprehensive ai/ml project focusing on OpenCV and Python to solve real-world problems.,AI/ML,Advanced,OpenCV|Python|NLP,false,4
22,Decentralized Blockchain System for Agriculture,A comprehensive blockchain project focusing on Solidity and Ethereum to solve real-world problems.,Blockchain,Advanced,Solidity|Ethereum|Smart Contracts,true,5
23,Next-Gen Game Dev System for Finance,A comprehensive game dev project focusing on C# and Unity to solve real-world problems.,Game Dev,Intermediate,C#|Unity|C++|Unreal Engine,true,6
24,Intelligent Security Analyzer,A comprehensive security project focusing on Ethical Hacking and Python to solve real-world problems.,Security,Intermediate,Ethical Hacking|Python,false,6
25,Smart Cloud Assistant,A comprehensive cloud project focusing on Kubernetes and DevOps to solve real-world problems.,Cloud,Advanced,Kubernetes|DevOps,false,4
26,Intelligent Game Dev Analyzer,A comprehensive game dev project focusing on Unity and C# to solve real-world problems.,Game Dev,Intermediate,Unity|C#|C++|Unreal Engine,true,2
27,Advanced Security System for Healthcare,A comprehensive security project focusing on Python and Linux to solve real-world problems.,Security,Advanced,Python|Linux|Cryptography|Network Security,true,6
28,Decentralized Security Application for Security,A comprehensive security project focusing on Network Security and Cryptography to solve real-world problems.,Security,Intermediate,Network Security|Cryptography,false,5
29,Automated Data Science System,A comprehensive data science project focusing on Matplotlib and SQL to solve real-world problems.,Data Science,Intermediate,Matplotlib|SQL|Pandas,false,4
30,Advanced AI/ML Tracker for Traffic,A comprehensive ai/ml project focusing on Python and Scikit-learn to solve real-world problems.,AI/ML,Advanced,Python|Scikit-learn|OpenCV|NLP,false,3
31,Next-Gen Cloud Tool,A comprehensive cloud project focusing on Docker and AWS to solve real-world problems.,Cloud,Intermediate,Docker|AWS|Azure|Kubernetes,true,3
32,Secure Cloud Module for Agriculture,A comprehensive cloud project focusing on DevOps and Azure to solve real-world problems.,Cloud,Advanced,DevOps|Azure,false,2
33,Next-Gen Data Science Assistant,A comprehensive data science project focusing on Matplotlib and R to solve real-world problems.,Data Science,Beginner,Matplotlib|R,true,3
34,Intelligent AR/VR Tool for Education,A comprehensive ar/vr project focusing on Blender and C# to solve real-world problems.,AR/VR,Beginner,Blender|C#,false,3
35,Next-Gen Data Science Platform for Education,A comprehensive data science project focusing on R and Matplotlib to solve real-world problems.,Data Science,Beginner,R|Matplotlib|SQL|NumPy,false,3
36,Automated Blockchain Assistant,A comprehensive blockchain project focusing on Web3.js and Solidity to solve real-world problems.,Blockchain,Beginner,Web3.js|Solidity|Smart Contracts|Ethereum,true,4
37,Real-time Security Tool,A comprehensive security project focusing on Network Security and Cryptography to solve real-world problems.,Security,Beginner,Network Security|Cryptography|Python|Linux,false,2
38,Decentralized IoT Module,A comprehensive iot project focusing on C++ and MQTT to solve real-world problems.,IoT,Intermediate,C++|MQTT|Sensors,true,6
39,Secure Game Dev System for Traffic,A comprehensive game dev project focusing on Unity and Unreal Engine to solve real-world problems.,Game Dev,Beginner,Unity|Unreal Engine|C++|C#,false,5
40,Advanced Web System for Finance,A comprehensive web project focusing on MongoDB and Node.js to solve real-world problems.,Web,Advanced,MongoDB|Node.js|React|Vue.js,false,2
41,Real-time Blockchain Platform,A comprehensive blockchain project focusing on Ethereum and Web3.js to solve real-world problems.,Blockchain,Intermediate,Ethereum|Web3.js,true,4
42,Decentralized Security Module for Agriculture,A comprehensive security project focusing on Cryptography and Network Security to solve real-world problems.,Security,Intermediate,Cryptography|Network Security|Python,true,4
43,Advanced Blockchain Tool,A comprehensive blockchain project focusing on Ethereum and Web3.js to solve real-world problems.,Blockchain,Beginner,Ethereum|Web3.js,true,4
44,Next-Gen Game Dev Application for Education,A comprehensive game dev project focusing on Unity and C# to solve real-world problems.,Game Dev,Advanced,Unity|C#|Unreal Engine|C++,true,6
45,Decentralized Mobile Assistant for Traffic,A comprehensive mobile project focusing on React Native and Swift to solve real-world problems.,Mobile,Intermediate,React Native|Swift,true,5
46,Next-Gen Cloud Module,A comprehensive cloud project focusing on AWS and DevOps to solve real-world problems.,Cloud,Intermediate,AWS|DevOps|Kubernetes,false,4
47,Smart Security Tracker for Traffic,A comprehensive security project focusing on Network Security and Cryptography to solve real-world problems.,Security,Advanced,Network Security|Cryptography,false,6
48,Smart Cloud Application,A comprehensive cloud project focusing on Azure and AWS to solve real-world problems.,Cloud,Intermediate,Azure|AWS|Docker,true,5
49,Advanced Cloud Tool for Finance,A comprehensive cloud project focusing on Azure and DevOps to solve real-world problems.,Cloud,Beginner,Azure|DevOps|AWS,false,4
50,Next-Gen Game Dev Tracker for Education,A comprehensive game dev project focusing on Unreal Engine and C# to solve real-world problems.,Game Dev,Advanced,Unreal Engine|C#|Unity,false,4
51,Next-Gen Web Tracker,A comprehensive web project focusing on MongoDB and Vue.js to solve real-world problems.,Web,Beginner,MongoDB|Vue.js,false,5
52,Next-Gen Mobile System for Security,A comprehensive mobile project focusing on Flutter and Swift to solve real-world problems.,Mobile,Advanced,Flutter|Swift,true,6
53,Automated Web System for Healthcare,A comprehensive web project focusing on React and Vue.js to solve real-world problems.,Web,Advanced,React|Vue.js|MongoDB,false,2
54,Real-time Data Science Assistant for Agriculture,A comprehensive data science project focusing on NumPy and Matplotlib to solve real-world problems.,Data Science,Beginner,NumPy|Matplotlib|SQL|Pandas,false,6
55,Advanced AR/VR System,A comprehensive ar/vr project focusing on C# and ARKit to solve real-world problems.,AR/VR,Intermediate,C#|ARKit,true,2
56,Smart AR/VR Assistant,A comprehensive ar/vr project focusing on ARKit and Unity to solve real-world problems.,AR/VR,Advanced,ARKit|Unity|Blender,true,5
57,Smart AI/ML System,A comprehensive ai/ml project focusing on Python and TensorFlow to solve real-world problems.,AI/ML,Advanced,Python|TensorFlow|OpenCV,true,3
58,Advanced AR/VR Analyzer,A comprehensive ar/vr project focusing on Unity and ARKit to solve real-world problems.,AR/VR,Intermediate,Unity|ARKit,false,4
59,Smart Mobile Application for Healthcare,A comprehensive mobile project focusing on React Native and Swift to solve real-world problems.,Mobile,Beginner,React Native|Swift|Kotlin|Firebase,true,6
60,Secure IoT Application for Education,A comprehensive iot project focusing on Sensors and Raspberry Pi to solve real-world problems.,IoT,Intermediate,Sensors|Raspberry Pi,false,5
61,Automated Data Science Platform,A comprehensive data science project focusing on Matplotlib and SQL to solve real-world problems.,Data Science,Intermediate,Matplotlib|SQL|R|NumPy,false,5
62,Real-time Blockchain Tool for Finance,A comprehensive blockchain project focusing on Solidity and Web3.js to solve real-world problems.,Blockchain,Intermediate,Solidity|Web3.js,false,2
63,Decentralized Game Dev Tracker,A comprehensive game dev project focusing on C++ and Unity to solve real-world problems.,Game Dev,Intermediate,C++|Unity|C#,false,3
